9000001	Patrón de 9 Campos Arquitectónicos de Bantotal — Los 9 Campos Fundamentales	articles/9000001-patron-de-9-campos-arquitectonicos-de-bantotal-los-9-campos.md	local:extra_docs/bantotal/9-campos-clave.md
9000002	Patrón de 9 Campos Arquitectónicos de Bantotal — Significado Arquitectónico	articles/9000002-patron-de-9-campos-arquitectonicos-de-bantotal-significado-a.md	local:extra_docs/bantotal/9-campos-clave.md
9000003	Patrón de 9 Campos Arquitectónicos de Bantotal — Identificación en Tablas	articles/9000003-patron-de-9-campos-arquitectonicos-de-bantotal-identificacio.md	local:extra_docs/bantotal/9-campos-clave.md
9000004	Patrón de 9 Campos Arquitectónicos de Bantotal — Ejemplo de Uso	articles/9000004-patron-de-9-campos-arquitectonicos-de-bantotal-ejemplo-de-us.md	local:extra_docs/bantotal/9-campos-clave.md
9000005	Patrón de 9 Campos Arquitectónicos de Bantotal — Variaciones	articles/9000005-patron-de-9-campos-arquitectonicos-de-bantotal-variaciones.md	local:extra_docs/bantotal/9-campos-clave.md
9000006	Patrón de 9 Campos Arquitectónicos de Bantotal — Consulta Rápida	articles/9000006-patron-de-9-campos-arquitectonicos-de-bantotal-consulta-rapi.md	local:extra_docs/bantotal/9-campos-clave.md
9000007	📚 Bantotal — Consultas y Referencias Rápidas	articles/9000007-bantotal-consultas-y-referencias-rapidas.md	local:extra_docs/bantotal/Bantotal_Rapidas.md
9000008	📚 Bantotal — Consultas y Referencias Rápidas — Tabla de Contenido	articles/9000008-bantotal-consultas-y-referencias-rapidas-tabla-de-contenido.md	local:extra_docs/bantotal/Bantotal_Rapidas.md
9000009	📚 Bantotal — Consultas y Referencias Rápidas — 1. Geografía y Estructura Organizacional	articles/9000009-bantotal-consultas-y-referencias-rapidas-1-geografia-y-estru.md	local:extra_docs/bantotal/Bantotal_Rapidas.md
9000010	📚 Bantotal — Consultas y Referencias Rápidas — 2. Usuarios y Asesores	articles/9000010-bantotal-consultas-y-referencias-rapidas-2-usuarios-y-asesor.md	local:extra_docs/bantotal/Bantotal_Rapidas.md
